Value,Disaggregation combinations using this value,Number of indicators
Barking and Dagenham,162,1
Barnet,162,1
Barnsley,81,1
Bath and North East Somerset,81,1
Bedford Borough,81,1
Bexley,162,1
Birmingham,81,1
Blackburn with Darwen,81,1
Blackpool,81,1
Bolton,81,1
"Bournemouth, Christchurch and Poole",81,1
Bournemouth,81,1
Bracknell Forest,81,1
Bradford,81,1
Brent,162,1
Brighton and Hove,81,1
Bristol,81,1
Bromley,162,1
Buckinghamshire,81,1
Bury,81,1
Calderdale,81,1
Cambridgeshire,81,1
Camden,162,1
Central Bedfordshire,81,1
Cheshire East,81,1
Cheshire West and Chester,81,1
City of London,162,1
Cornwall,81,1
County Durham,81,1
Coventry,81,1
Croydon,162,1
Cumbria,81,1
Darlington,81,1
Derby,81,1
Derbyshire,81,1
Devon,81,1
Doncaster,81,1
Dorset,81,1
Dudley,81,1
Ealing,162,1
East Riding of Yorkshire,81,1
East Sussex,81,1
Enfield,162,1
Essex,81,1
Gateshead,81,1
Gloucestershire,81,1
Greenwich,162,1
Hackney,162,1
Halton,81,1
Hammersmith and Fulham,162,1
Hampshire,81,1
Haringey,162,1
Harrow,162,1
Hartlepool,81,1
Havering,162,1
Herefordshire,81,1
Hertfordshire,81,1
Hillingdon,162,1
Hounslow,162,1
Isle of Wight,81,1
Isles of Scilly,81,1
Islington,162,1
Kensington and Chelsea,162,1
Kent,81,1
Kingston upon Hull,81,1
Kingston upon Thames,162,1
Kirklees,81,1
Knowsley,81,1
Lambeth,162,1
Lancashire,81,1
Leeds,81,1
Leicester,81,1
Leicestershire,81,1
Lewisham,162,1
Lincolnshire,81,1
Liverpool,81,1
Luton,81,1
Manchester,81,1
Medway,81,1
Merton,162,1
Middlesbrough,81,1
Milton Keynes,81,1
Newcastle upon Tyne,81,1
Newham,162,1
Norfolk,81,1
North East Lincolnshire,81,1
North Lincolnshire,81,1
North Somerset,81,1
North Tyneside,81,1
North Yorkshire,81,1
Northamptonshire,81,1
Northumberland,81,1
Nottingham,81,1
Nottinghamshire,81,1
Oldham,81,1
Oxfordshire,81,1
Peterborough,81,1
Plymouth,81,1
Poole,81,1
Portsmouth,81,1
Reading,81,1
Redbridge,162,1
Redcar and Cleveland,81,1
Richmond upon Thames,162,1
Rochdale,81,1
Rotherham,81,1
Rutland,81,1
Salford,81,1
Sandwell,81,1
Sefton,81,1
Sheffield,81,1
Shropshire,81,1
Slough,81,1
Solihull,81,1
Somerset,81,1
South Gloucestershire,81,1
South Tyneside,81,1
Southampton,81,1
Southend-on-Sea,81,1
Southwark,162,1
St. Helens,81,1
Staffordshire,81,1
Stockport,81,1
Stockton-on-Tees,81,1
Stoke-on-Trent,81,1
Suffolk,81,1
Sunderland,81,1
Surrey,81,1
Sutton,162,1
Swindon,81,1
Tameside,81,1
Telford and Wrekin,81,1
Thurrock,81,1
Torbay,81,1
Tower Hamlets,162,1
Trafford,81,1
Wakefield,81,1
Walsall,81,1
Waltham Forest,162,1
Wandsworth,162,1
Warrington,81,1
Warwickshire,81,1
West Berkshire,81,1
West Sussex,81,1
Westminster,162,1
Wigan,81,1
Wiltshire,81,1
Windsor and Maidenhead,81,1
Wirral,81,1
Wokingham,81,1
Wolverhampton,81,1
Worcestershire,81,1
York,81,1
